strain	Antibiotic	Resistance.phenotype	WT_vs_nonWT	nonWT_binary	resistant	Measurement.sign	Measurement	Measurement.units	Laboratory.Typing.Method	Testing.standard	Testing.standard.year.or.version	Laboratory.Typing.Platform	Vendor	Laboratory.Typing.Method.Version.or.Reagent	Accession	Sample.Accession	Study.Accession	PMID	Lab.Contact
KPN025	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Vitek	Biomerieux	NA					Kelly Wyres (kelly.wyres@monash.edu)
KPN025_baker	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Vitek	Biom<8e>rieux	NA	ERR2693386	SAMEA104076892	PRJEB20809		Hayley Wilson (hjw58@cam.ac.uk)
KPN026_baker	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Vitek	Biom<8e>rieux	NA	ERR2693385	SAMEA104076891	PRJEB20809		Hayley Wilson (hjw58@cam.ac.uk)
KPN027_baker	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Vitek	Biom<8e>rieux	NA	ERR2693384	SAMEA104076890	PRJEB20809		Hayley Wilson (hjw58@cam.ac.uk)
KPN028_baker	ciprofloxacin	R	non-wt (I/R)	1	1	>=	4	mg/L	MIC (broth dilution)	EUCAST	NA	Vitek	Biom<8e>rieux	NA	ERR2719288	SAMEA104076958	PRJEB20809		Hayley Wilson (hjw58@cam.ac.uk)
KPN029	ciprofloxacin	R	non-wt (I/R)	1	1	NA	1	mg/L	MIC (broth dilution)	EUCAST	NA	Vitek	Biomerieux	NA	SRR12998338	SAMN16685814	PRJNA674961		Kelly Wyres (kelly.wyres@monash.edu)
KPN029_baker	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Vitek	Biom<8e>rieux	NA	ERR2693383	SAMEA104076889	PRJEB20809		Hayley Wilson (hjw58@cam.ac.uk)
KPN030_baker	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Vitek	Biom<8e>rieux	NA	ERR2693382	SAMEA104076888	PRJEB20809		Hayley Wilson (hjw58@cam.ac.uk)
KPN031_baker	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Vitek	Biom<8e>rieux	NA	ERR2693381	SAMEA104076887	PRJEB20809		Hayley Wilson (hjw58@cam.ac.uk)
KPN032_baker	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Vitek	Biom<8e>rieux	NA	ERR2719289	SAMEA104076959	PRJEB20809		Hayley Wilson (hjw58@cam.ac.uk)
KPN033_baker	ciprofloxacin	R	non-wt (I/R)	1	1	>=	4	mg/L	MIC (broth dilution)	EUCAST	NA	Vitek	Biom<8e>rieux	NA	ERR2693412	SAMEA104076918	PRJEB20809		Hayley Wilson (hjw58@cam.ac.uk)
KPN034_baker	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Vitek	Biom<8e>rieux	NA	ERR2719290	SAMEA104076960	PRJEB20809		Hayley Wilson (hjw58@cam.ac.uk)
KPN035_baker	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Vitek	Biom<8e>rieux	NA	ERR2693411	SAMEA104076917	PRJEB20809		Hayley Wilson (hjw58@cam.ac.uk)
KPN036_baker	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Vitek	Biom<8e>rieux	NA	ERR2693410	SAMEA104076916	PRJEB20809		Hayley Wilson (hjw58@cam.ac.uk)
KPN037_baker	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Vitek	Biom<8e>rieux	NA	ERR2693409	SAMEA104076915	PRJEB20809		Hayley Wilson (hjw58@cam.ac.uk)
KPN038_baker	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Vitek	Biom<8e>rieux	NA	ERR2693408	SAMEA104076914	PRJEB20809		Hayley Wilson (hjw58@cam.ac.uk)
KPN039_baker	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Vitek	Biom<8e>rieux	NA	ERR2719536	SAMEA104077218	PRJEB20809		Hayley Wilson (hjw58@cam.ac.uk)
KPN040_baker	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Vitek	Biom<8e>rieux	NA	ERR2693374	SAMEA104076880	PRJEB20809		Hayley Wilson (hjw58@cam.ac.uk)
KPN041_baker	ciprofloxacin	R	non-wt (I/R)	1	1	>=	4	mg/L	MIC (broth dilution)	EUCAST	NA	Vitek	Biom<8e>rieux	NA	ERR2696406	SAMEA4786375	PRJEB14854		Hayley Wilson (hjw58@cam.ac.uk)
KPN042_baker	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Vitek	Biom<8e>rieux	NA	ERR2693373	SAMEA104076878	PRJEB20809		Hayley Wilson (hjw58@cam.ac.uk)
KPN043_baker	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Vitek	Biom<8e>rieux	NA	ERR2719291	SAMEA104076961	PRJEB20809		Hayley Wilson (hjw58@cam.ac.uk)
KPN045_baker	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Vitek	Biom<8e>rieux	NA	ERR2719292	SAMEA104076962	PRJEB20809		Hayley Wilson (hjw58@cam.ac.uk)
KPN046_baker	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Vitek	Biom<8e>rieux	NA	ERR2719293	SAMEA104076963	PRJEB20809		Hayley Wilson (hjw58@cam.ac.uk)
KPN047_baker	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Vitek	Biom<8e>rieux	NA	ERR2719295	SAMEA104076965	PRJEB20809		Hayley Wilson (hjw58@cam.ac.uk)
KPN048	ciprofloxacin	R	non-wt (I/R)	1	1	>=	4	mg/L	MIC (broth dilution)	EUCAST	NA	Vitek	Biomerieux	NA	SRR28040647	SAMN40027614	PRJNA674961		Kelly Wyres (kelly.wyres@monash.edu)
KPN049	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Vitek	Biomerieux	NA	SRR12998341	SAMN16685803	PRJNA674961		Kelly Wyres (kelly.wyres@monash.edu)
KPN049_baker	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Vitek	Biom<8e>rieux	NA	ERR2719296	SAMEA104076966	PRJEB20809		Hayley Wilson (hjw58@cam.ac.uk)
KPN050_baker	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Vitek	Biom<8e>rieux	NA	ERR2693393	SAMEA104076899	PRJEB20809		Hayley Wilson (hjw58@cam.ac.uk)
KPN051	ciprofloxacin	R	non-wt (I/R)	1	1	NA	1	mg/L	MIC (broth dilution)	EUCAST	NA	Vitek	Biomerieux	NA					Kelly Wyres (kelly.wyres@monash.edu)
KPN051_baker	ciprofloxacin	R	non-wt (I/R)	1	1	>=	4	mg/L	MIC (broth dilution)	EUCAST	NA	Vitek	Biom<8e>rieux	NA	ERR2719297	SAMEA104076967	PRJEB20809		Hayley Wilson (hjw58@cam.ac.uk)
KPN052_baker	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Vitek	Biom<8e>rieux	NA	ERR2719298	SAMEA104076968	PRJEB20809		Hayley Wilson (hjw58@cam.ac.uk)
KPN053_baker	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Vitek	Biom<8e>rieux	NA	ERR2719299	SAMEA104076969	PRJEB20809		Hayley Wilson (hjw58@cam.ac.uk)
KPN054_baker	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Vitek	Biom<8e>rieux	NA	ERR2693392	SAMEA104076898	PRJEB20809		Hayley Wilson (hjw58@cam.ac.uk)
KPN055_baker	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Vitek	Biom<8e>rieux	NA	ERR2719300	SAMEA104076970	PRJEB20809		Hayley Wilson (hjw58@cam.ac.uk)
KPN056_baker	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Vitek	Biom<8e>rieux	NA	ERR2693391	SAMEA104076897	PRJEB20809		Hayley Wilson (hjw58@cam.ac.uk)
KPN057_baker	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Vitek	Biom<8e>rieux	NA	ERR2719301	SAMEA104076971	PRJEB20809		Hayley Wilson (hjw58@cam.ac.uk)
KPN058_baker	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Vitek	Biom<8e>rieux	NA	ERR2693390	SAMEA104076896	PRJEB20809		Hayley Wilson (hjw58@cam.ac.uk)
KPN059_baker	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Vitek	Biom<8e>rieux	NA	ERR2693389	SAMEA104076895	PRJEB20809		Hayley Wilson (hjw58@cam.ac.uk)
KPN060_baker	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Vitek	Biom<8e>rieux	NA	ERR2693388	SAMEA104076894	PRJEB20809		Hayley Wilson (hjw58@cam.ac.uk)
KPN062_baker	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Vitek	Biom<8e>rieux	NA	ERR2693395	SAMEA104076901	PRJEB20809		Hayley Wilson (hjw58@cam.ac.uk)
KPN071	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Vitek	Biomerieux	NA					Kelly Wyres (kelly.wyres@monash.edu)
KPN074	ciprofloxacin	R	non-wt (I/R)	1	1	NA	2	mg/L	MIC (broth dilution)	EUCAST	NA	Vitek	Biomerieux	NA					Kelly Wyres (kelly.wyres@monash.edu)
KPN1000	ciprofloxacin	R	non-wt (I/R)	1	1	>=	4	mg/L	MIC (broth dilution)	EUCAST	NA	Vitek	Biomerieux	NA					Kelly Wyres (kelly.wyres@monash.edu)
KPN1010	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Vitek	Biomerieux	NA					Kelly Wyres (kelly.wyres@monash.edu)
KPN1014	ciprofloxacin	R	non-wt (I/R)	1	1	>=	4	mg/L	MIC (broth dilution)	EUCAST	NA	Vitek	Biomerieux	NA					Kelly Wyres (kelly.wyres@monash.edu)
KPN1018	ciprofloxacin	R	non-wt (I/R)	1	1	>=	4	mg/L	MIC (broth dilution)	EUCAST	NA	Vitek	Biomerieux	NA					Kelly Wyres (kelly.wyres@monash.edu)
KPN1024	ciprofloxacin	R	non-wt (I/R)	1	1	>=	4	mg/L	MIC (broth dilution)	EUCAST	NA	Vitek	Biomerieux	NA	SRR28040646	SAMN40027615	PRJNA674961		Kelly Wyres (kelly.wyres@monash.edu)
KPN1026	ciprofloxacin	R	non-wt (I/R)	1	1	>=	4	mg/L	MIC (broth dilution)	EUCAST	NA	Vitek	Biomerieux	NA					Kelly Wyres (kelly.wyres@monash.edu)
KPN1032	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Vitek	Biomerieux	NA					Kelly Wyres (kelly.wyres@monash.edu)
KPN1041	ciprofloxacin	R	non-wt (I/R)	1	1	>=	4	mg/L	MIC (broth dilution)	EUCAST	NA	Vitek	Biomerieux	NA					Kelly Wyres (kelly.wyres@monash.edu)
KPN1045	ciprofloxacin	R	non-wt (I/R)	1	1	NA	2	mg/L	MIC (broth dilution)	EUCAST	NA	Vitek	Biomerieux	NA					Kelly Wyres (kelly.wyres@monash.edu)
KPN1050	ciprofloxacin	R	non-wt (I/R)	1	1	NA	1	mg/L	MIC (broth dilution)	EUCAST	NA	Vitek	Biomerieux	NA	SRR16977040	SAMN23286213	PRJNA674961		Kelly Wyres (kelly.wyres@monash.edu)
KPN1052	ciprofloxacin	R	non-wt (I/R)	1	1	>=	4	mg/L	MIC (broth dilution)	EUCAST	NA	Vitek	Biomerieux	NA					Kelly Wyres (kelly.wyres@monash.edu)
KPN1062	ciprofloxacin	R	non-wt (I/R)	1	1	NA	1	mg/L	MIC (broth dilution)	EUCAST	NA	Vitek	Biomerieux	NA	SRR16977039	SAMN23286214	PRJNA674961		Kelly Wyres (kelly.wyres@monash.edu)
KPN1067	ciprofloxacin	R	non-wt (I/R)	1	1	>=	4	mg/L	MIC (broth dilution)	EUCAST	NA	Vitek	Biomerieux	NA					Kelly Wyres (kelly.wyres@monash.edu)
KPN1076	ciprofloxacin	R	non-wt (I/R)	1	1	>=	4	mg/L	MIC (broth dilution)	EUCAST	NA	Vitek	Biomerieux	NA					Kelly Wyres (kelly.wyres@monash.edu)
KPN1079	ciprofloxacin	R	non-wt (I/R)	1	1	>=	4	mg/L	MIC (broth dilution)	EUCAST	NA	Vitek	Biomerieux	NA	SRR16977038	SAMN23286215	PRJNA674961		Kelly Wyres (kelly.wyres@monash.edu)
KPN108	ciprofloxacin	I	non-wt (I/R)	1	0	NA	0.5	mg/L	MIC (broth dilution)	EUCAST	NA	Vitek	Biomerieux	NA	SRR12998340	SAMN16685804	PRJNA674961		Kelly Wyres (kelly.wyres@monash.edu)
KPN1087	ciprofloxacin	R	non-wt (I/R)	1	1	>=	4	mg/L	MIC (broth dilution)	EUCAST	NA	Vitek	Biomerieux	NA					Kelly Wyres (kelly.wyres@monash.edu)
KPN1098	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Vitek	Biomerieux	NA					Kelly Wyres (kelly.wyres@monash.edu)
KPN110	ciprofloxacin	R	non-wt (I/R)	1	1	NA	1	mg/L	MIC (broth dilution)	EUCAST	NA	Vitek	Biomerieux	NA	SRR12998329	SAMN16685805	PRJNA674961		Kelly Wyres (kelly.wyres@monash.edu)
KPN1107	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Vitek	Biomerieux	NA					Kelly Wyres (kelly.wyres@monash.edu)
KPN1116	ciprofloxacin	R	non-wt (I/R)	1	1	>=	4	mg/L	MIC (broth dilution)	EUCAST	NA	Vitek	Biomerieux	NA					Kelly Wyres (kelly.wyres@monash.edu)
KPN1123	ciprofloxacin	R	non-wt (I/R)	1	1	>=	4	mg/L	MIC (broth dilution)	EUCAST	NA	Vitek	Biomerieux	NA					Kelly Wyres (kelly.wyres@monash.edu)
KPN1127	ciprofloxacin	I	non-wt (I/R)	1	0	NA	0.5	mg/L	MIC (broth dilution)	EUCAST	NA	Vitek	Biomerieux	NA	SRR16977043	SAMN23286211	PRJNA674961		Kelly Wyres (kelly.wyres@monash.edu)
KPN1139	ciprofloxacin	I	non-wt (I/R)	1	0	NA	0.5	mg/L	MIC (broth dilution)	EUCAST	NA	Vitek	Biomerieux	NA	SRR16977042	SAMN23286212	PRJNA674961		Kelly Wyres (kelly.wyres@monash.edu)
KPN114	ciprofloxacin	R	non-wt (I/R)	1	1	NA	2	mg/L	MIC (broth dilution)	EUCAST	NA	Vitek	Biomerieux	NA	SRR12998318	SAMN16685806	PRJNA674961		Kelly Wyres (kelly.wyres@monash.edu)
KPN1149	ciprofloxacin	R	non-wt (I/R)	1	1	>=	4	mg/L	MIC (broth dilution)	EUCAST	NA	Vitek	Biomerieux	NA					Kelly Wyres (kelly.wyres@monash.edu)
KPN1150	ciprofloxacin	R	non-wt (I/R)	1	1	NA	1	mg/L	MIC (broth dilution)	EUCAST	NA	Vitek	Biomerieux	NA					Kelly Wyres (kelly.wyres@monash.edu)
KPN1151	ciprofloxacin	R	non-wt (I/R)	1	1	>	2	mg/L	MIC (broth dilution)	EUCAST	NA	Vitek	Biomerieux	NA					Kelly Wyres (kelly.wyres@monash.edu)
KPN1152	ciprofloxacin	R	non-wt (I/R)	1	1	>=	4	mg/L	MIC (broth dilution)	EUCAST	NA	Vitek	Biomerieux	NA					Kelly Wyres (kelly.wyres@monash.edu)
KPN1154	ciprofloxacin	R	non-wt (I/R)	1	1	>=	4	mg/L	MIC (broth dilution)	EUCAST	NA	Vitek	Biomerieux	NA					Kelly Wyres (kelly.wyres@monash.edu)
KPN1155	ciprofloxacin	R	non-wt (I/R)	1	1	>=	4	mg/L	MIC (broth dilution)	EUCAST	NA	Vitek	Biomerieux	NA					Kelly Wyres (kelly.wyres@monash.edu)
KPN1163	ciprofloxacin	R	non-wt (I/R)	1	1	>=	4	mg/L	MIC (broth dilution)	EUCAST	NA	Vitek	Biomerieux	NA					Kelly Wyres (kelly.wyres@monash.edu)
KPN1168	ciprofloxacin	R	non-wt (I/R)	1	1	NA	1	mg/L	MIC (broth dilution)	EUCAST	NA	Vitek	Biomerieux	NA	SRR16977037	SAMN23286216	PRJNA674961		Kelly Wyres (kelly.wyres@monash.edu)
KPN1169	ciprofloxacin	R	non-wt (I/R)	1	1	NA	2	mg/L	MIC (broth dilution)	EUCAST	NA	Vitek	Biomerieux	NA					Kelly Wyres (kelly.wyres@monash.edu)
KPN1170	ciprofloxacin	R	non-wt (I/R)	1	1	NA	1	mg/L	MIC (broth dilution)	EUCAST	NA	Vitek	Biomerieux	NA	SRR16977036	SAMN23286217	PRJNA674961		Kelly Wyres (kelly.wyres@monash.edu)
KPN1171	ciprofloxacin	R	non-wt (I/R)	1	1	>=	4	mg/L	MIC (broth dilution)	EUCAST	NA	Vitek	Biomerieux	NA					Kelly Wyres (kelly.wyres@monash.edu)
KPN1172	ciprofloxacin	R	non-wt (I/R)	1	1	>=	4	mg/L	MIC (broth dilution)	EUCAST	NA	Vitek	Biomerieux	NA					Kelly Wyres (kelly.wyres@monash.edu)
KPN1180	ciprofloxacin	R	non-wt (I/R)	1	1	>=	4	mg/L	MIC (broth dilution)	EUCAST	NA	Vitek	Biomerieux	NA					Kelly Wyres (kelly.wyres@monash.edu)
KPN1181	ciprofloxacin	R	non-wt (I/R)	1	1	>=	4	mg/L	MIC (broth dilution)	EUCAST	NA	Vitek	Biomerieux	NA					Kelly Wyres (kelly.wyres@monash.edu)
KPN1186	ciprofloxacin	R	non-wt (I/R)	1	1	>=	4	mg/L	MIC (broth dilution)	EUCAST	NA	Vitek	Biomerieux	NA					Kelly Wyres (kelly.wyres@monash.edu)
KPN1188	ciprofloxacin	R	non-wt (I/R)	1	1	>=	4	mg/L	MIC (broth dilution)	EUCAST	NA	Vitek	Biomerieux	NA					Kelly Wyres (kelly.wyres@monash.edu)
KPN1189	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Vitek	Biomerieux	NA					Kelly Wyres (kelly.wyres@monash.edu)
KPN119	ciprofloxacin	R	non-wt (I/R)	1	1	>=	4	mg/L	MIC (broth dilution)	EUCAST	NA	Vitek	Biomerieux	NA					Kelly Wyres (kelly.wyres@monash.edu)
KPN1195	ciprofloxacin	R	non-wt (I/R)	1	1	NA	2	mg/L	MIC (broth dilution)	EUCAST	NA	Vitek	Biomerieux	NA					Kelly Wyres (kelly.wyres@monash.edu)
KPN1197	ciprofloxacin	R	non-wt (I/R)	1	1	NA	2	mg/L	MIC (broth dilution)	EUCAST	NA	Vitek	Biomerieux	NA					Kelly Wyres (kelly.wyres@monash.edu)
KPN1209	ciprofloxacin	R	non-wt (I/R)	1	1	NA	1	mg/L	MIC (broth dilution)	EUCAST	NA	Vitek	Biomerieux	NA	SRR16977035	SAMN23286218	PRJNA674961		Kelly Wyres (kelly.wyres@monash.edu)
KPN1214	ciprofloxacin	R	non-wt (I/R)	1	1	>=	4	mg/L	MIC (broth dilution)	EUCAST	NA	Vitek	Biomerieux	NA	SRR16977034	SAMN23286219	PRJNA674961		Kelly Wyres (kelly.wyres@monash.edu)
KPN1215	ciprofloxacin	R	non-wt (I/R)	1	1	>=	4	mg/L	MIC (broth dilution)	EUCAST	NA	Vitek	Biomerieux	NA					Kelly Wyres (kelly.wyres@monash.edu)
KPN1217	ciprofloxacin	R	non-wt (I/R)	1	1	>=	4	mg/L	MIC (broth dilution)	EUCAST	NA	Vitek	Biomerieux	NA					Kelly Wyres (kelly.wyres@monash.edu)
KPN1220	ciprofloxacin	R	non-wt (I/R)	1	1	NA	1	mg/L	MIC (broth dilution)	EUCAST	NA	Vitek	Biomerieux	NA					Kelly Wyres (kelly.wyres@monash.edu)
KPN1228	ciprofloxacin	R	non-wt (I/R)	1	1	>=	4	mg/L	MIC (broth dilution)	EUCAST	NA	Vitek	Biomerieux	NA					Kelly Wyres (kelly.wyres@monash.edu)
KPN1229	ciprofloxacin	R	non-wt (I/R)	1	1	NA	1	mg/L	MIC (broth dilution)	EUCAST	NA	Vitek	Biomerieux	NA					Kelly Wyres (kelly.wyres@monash.edu)
KPN1230	ciprofloxacin	R	non-wt (I/R)	1	1	NA	1	mg/L	MIC (broth dilution)	EUCAST	NA	Vitek	Biomerieux	NA					Kelly Wyres (kelly.wyres@monash.edu)
KPN1232	ciprofloxacin	R	non-wt (I/R)	1	1	>=	4	mg/L	MIC (broth dilution)	EUCAST	NA	Vitek	Biomerieux	NA					Kelly Wyres (kelly.wyres@monash.edu)
KPN1233	ciprofloxacin	R	non-wt (I/R)	1	1	>=	4	mg/L	MIC (broth dilution)	EUCAST	NA	Vitek	Biomerieux	NA					Kelly Wyres (kelly.wyres@monash.edu)
KPN1234	ciprofloxacin	R	non-wt (I/R)	1	1	>=	4	mg/L	MIC (broth dilution)	EUCAST	NA	Vitek	Biomerieux	NA					Kelly Wyres (kelly.wyres@monash.edu)
KPN1237	ciprofloxacin	R	non-wt (I/R)	1	1	NA	1	mg/L	MIC (broth dilution)	EUCAST	NA	Vitek	Biomerieux	NA	SRR16977033	SAMN23286220	PRJNA674961		Kelly Wyres (kelly.wyres@monash.edu)
KPN1252	ciprofloxacin	R	non-wt (I/R)	1	1	>=	4	mg/L	MIC (broth dilution)	EUCAST	NA	Vitek	Biomerieux	NA					Kelly Wyres (kelly.wyres@monash.edu)
KPN1254	ciprofloxacin	R	non-wt (I/R)	1	1	NA	2	mg/L	MIC (broth dilution)	EUCAST	NA	Vitek	Biomerieux	NA					Kelly Wyres (kelly.wyres@monash.edu)
KPN1258	ciprofloxacin	R	non-wt (I/R)	1	1	NA	2	mg/L	MIC (broth dilution)	EUCAST	NA	Vitek	Biomerieux	NA					Kelly Wyres (kelly.wyres@monash.edu)
KPN1264	ciprofloxacin	R	non-wt (I/R)	1	1	>=	4	mg/L	MIC (broth dilution)	EUCAST	NA	Vitek	Biomerieux	NA					Kelly Wyres (kelly.wyres@monash.edu)
KPN1266	ciprofloxacin	R	non-wt (I/R)	1	1	>=	4	mg/L	MIC (broth dilution)	EUCAST	NA	Vitek	Biomerieux	NA					Kelly Wyres (kelly.wyres@monash.edu)
KPN1279	ciprofloxacin	R	non-wt (I/R)	1	1	NA	1	mg/L	MIC (broth dilution)	EUCAST	NA	Vitek	Biomerieux	NA					Kelly Wyres (kelly.wyres@monash.edu)
KPN1285	ciprofloxacin	S	wt (S)	0	0	<	0.125	mg/L	MIC (broth dilution)	EUCAST	NA	Vitek	Biomerieux	NA	SRR28040645	SAMN40027616	PRJNA674961		Kelly Wyres (kelly.wyres@monash.edu)
KPN1288	ciprofloxacin	I	non-wt (I/R)	1	0	NA	0.5	mg/L	MIC (broth dilution)	EUCAST	NA	Vitek	Biomerieux	NA					Kelly Wyres (kelly.wyres@monash.edu)
KPN1292	ciprofloxacin	R	non-wt (I/R)	1	1	NA	1	mg/L	MIC (broth dilution)	EUCAST	NA	Vitek	Biomerieux	NA	SRR16977032	SAMN23286221	PRJNA674961		Kelly Wyres (kelly.wyres@monash.edu)
KPN1294	ciprofloxacin	R	non-wt (I/R)	1	1	>=	4	mg/L	MIC (broth dilution)	EUCAST	NA	Vitek	Biomerieux	NA					Kelly Wyres (kelly.wyres@monash.edu)
KPN1295	ciprofloxacin	R	non-wt (I/R)	1	1	>=	4	mg/L	MIC (broth dilution)	EUCAST	NA	Vitek	Biomerieux	NA					Kelly Wyres (kelly.wyres@monash.edu)
KPN1299	ciprofloxacin	R	non-wt (I/R)	1	1	NA	1	mg/L	MIC (broth dilution)	EUCAST	NA	Vitek	Biomerieux	NA	SRR16977031	SAMN23286222	PRJNA674961		Kelly Wyres (kelly.wyres@monash.edu)
KPN130	ciprofloxacin	I	non-wt (I/R)	1	0	NA	0.5	mg/L	MIC (broth dilution)	EUCAST	NA	Vitek	Biomerieux	NA					Kelly Wyres (kelly.wyres@monash.edu)
KPN1302	ciprofloxacin	R	non-wt (I/R)	1	1	>=	4	mg/L	MIC (broth dilution)	EUCAST	NA	Vitek	Biomerieux	NA					Kelly Wyres (kelly.wyres@monash.edu)
KPN1303	ciprofloxacin	R	non-wt (I/R)	1	1	NA	1	mg/L	MIC (broth dilution)	EUCAST	NA	Vitek	Biomerieux	NA					Kelly Wyres (kelly.wyres@monash.edu)
KPN1312	ciprofloxacin	R	non-wt (I/R)	1	1	>=	4	mg/L	MIC (broth dilution)	EUCAST	NA	Vitek	Biomerieux	NA					Kelly Wyres (kelly.wyres@monash.edu)
KPN1314	ciprofloxacin	R	non-wt (I/R)	1	1	NA	1	mg/L	MIC (broth dilution)	EUCAST	NA	Vitek	Biomerieux	NA	SRR16977029	SAMN23286223	PRJNA674961		Kelly Wyres (kelly.wyres@monash.edu)
KPN1321	ciprofloxacin	R	non-wt (I/R)	1	1	>=	4	mg/L	MIC (broth dilution)	EUCAST	NA	Vitek	Biomerieux	NA					Kelly Wyres (kelly.wyres@monash.edu)
KPN1322	ciprofloxacin	R	non-wt (I/R)	1	1	>=	4	mg/L	MIC (broth dilution)	EUCAST	NA	Vitek	Biomerieux	NA	SRR16977028	SAMN23286224	PRJNA674961		Kelly Wyres (kelly.wyres@monash.edu)
KPN134	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Vitek	Biomerieux	NA					Kelly Wyres (kelly.wyres@monash.edu)
KPN1344	ciprofloxacin	R	non-wt (I/R)	1	1	NA	1	mg/L	MIC (broth dilution)	EUCAST	NA	Vitek	Biomerieux	NA					Kelly Wyres (kelly.wyres@monash.edu)
KPN1345	ciprofloxacin	R	non-wt (I/R)	1	1	>=	4	mg/L	MIC (broth dilution)	EUCAST	NA	Vitek	Biomerieux	NA					Kelly Wyres (kelly.wyres@monash.edu)
KPN1348	ciprofloxacin	R	non-wt (I/R)	1	1	>=	4	mg/L	MIC (broth dilution)	EUCAST	NA	Vitek	Biomerieux	NA					Kelly Wyres (kelly.wyres@monash.edu)
KPN1349	ciprofloxacin	R	non-wt (I/R)	1	1	>=	4	mg/L	MIC (broth dilution)	EUCAST	NA	Vitek	Biomerieux	NA					Kelly Wyres (kelly.wyres@monash.edu)
